code,title,titleLocal,chapter,isBillable
F00,Dementia in Alzheimer's disease,,Mental and behavioural,false
F00.0,Dementia in Alzheimer's disease with early onset,,Mental and behavioural,true
F00.1,Dementia in Alzheimer's disease with late onset,,Mental and behavioural,true
F00.9,Dementia in Alzheimer's disease unspecified,,Mental and behavioural,true
F01,Vascular dementia,,Mental and behavioural,false
F01.9,Vascular dementia unspecified,,Mental and behavioural,true
F03,Unspecified dementia,,Mental and behavioural,true
F05,Delirium not induced by alcohol and other psychoactive substances,,Mental and behavioural,false
F05.9,Delirium unspecified,,Mental and behavioural,true
F06,Other mental disorders due to brain damage and dysfunction,,Mental and behavioural,false
F06.2,Organic delusional (schizophrenia-like) disorder,,Mental and behavioural,true
F06.3,Organic mood (affective) disorders,,Mental and behavioural,true
F07,Personality and behavioural disorders due to brain disease,,Mental and behavioural,false
F09,Unspecified organic or symptomatic mental disorder,,Mental and behavioural,true
F10,Mental and behavioural disorders due to use of alcohol,,Mental and behavioural,false
F10.1,"Mental and behavioural disorders due to alcohol, harmful use",,Mental and behavioural,true
F10.2,"Mental and behavioural disorders due to alcohol, dependence syndrome",,Mental and behavioural,true
F10.3,"Mental and behavioural disorders due to alcohol, withdrawal state",,Mental and behavioural,true
F11,Mental and behavioural disorders due to use of opioids,,Mental and behavioural,false
F11.1,"Mental and behavioural disorders due to opioids, harmful use",,Mental and behavioural,true
F11.2,"Mental and behavioural disorders due to opioids, dependence syndrome",,Mental and behavioural,true
F11.3,"Mental and behavioural disorders due to opioids, withdrawal state",,Mental and behavioural,true
F12,Mental and behavioural disorders due to use of cannabinoids,,Mental and behavioural,false
F12.2,"Mental and behavioural disorders due to cannabinoids, dependence syndrome",,Mental and behavioural,true
F13,Mental and behavioural disorders due to use of sedatives or hypnotics,,Mental and behavioural,false
F13.2,"Mental and behavioural disorders due to sedatives, dependence syndrome",,Mental and behavioural,true
F14,Mental and behavioural disorders due to use of cocaine,,Mental and behavioural,false
F15,Mental and behavioural disorders due to use of other stimulants,,Mental and behavioural,false
F17,Mental and behavioural disorders due to use of tobacco,,Mental and behavioural,false
F17.2,"Mental and behavioural disorders due to tobacco, dependence syndrome",,Mental and behavioural,true
F19,Mental and behavioural disorders due to multiple drug use,,Mental and behavioural,false
F20,Schizophrenia,,Mental and behavioural,false
F20.0,Paranoid schizophrenia,,Mental and behavioural,true
F20.1,Hebephrenic schizophrenia,,Mental and behavioural,true
F20.3,Undifferentiated schizophrenia,,Mental and behavioural,true
F20.5,Residual schizophrenia,,Mental and behavioural,true
F20.9,Schizophrenia unspecified,,Mental and behavioural,true
F21,Schizotypal disorder,,Mental and behavioural,true
F22,Persistent delusional disorders,,Mental and behavioural,false
F22.0,Delusional disorder,,Mental and behavioural,true
F23,Acute and transient psychotic disorders,,Mental and behavioural,false
F23.9,Acute and transient psychotic disorder unspecified,,Mental and behavioural,true
F25,Schizoaffective disorders,,Mental and behavioural,false
F25.9,Schizoaffective disorder unspecified,,Mental and behavioural,true
F29,Unspecified nonorganic psychosis,,Mental and behavioural,true
F30,Manic episode,,Mental and behavioural,false
F30.1,Mania without psychotic symptoms,,Mental and behavioural,true
F30.2,Mania with psychotic symptoms,,Mental and behavioural,true
F31,Bipolar affective disorder,,Mental and behavioural,false
F31.0,Bipolar affective disorder current episode hypomanic,,Mental and behavioural,true
F31.1,Bipolar affective disorder current episode manic without psychotic symptoms,,Mental and behavioural,true
F31.2,Bipolar affective disorder current episode manic with psychotic symptoms,,Mental and behavioural,true
F31.3,Bipolar affective disorder current episode mild or moderate depression,,Mental and behavioural,true
F31.4,Bipolar affective disorder current episode severe depression without psychotic symptoms,,Mental and behavioural,true
F31.5,Bipolar affective disorder current episode severe depression with psychotic symptoms,,Mental and behavioural,true
F31.9,Bipolar affective disorder unspecified,,Mental and behavioural,true
