icdcode,name,frequency,duration,route
ICODE,NAME,FREQUENCY,DURATIONS,ROUTE
M00432,Brufen 200mg,,,
NULL,AUGMENTIN,OD,,
M00234,Metonce 25mg(Metoprolol 25mg)Tab,TID,,
NULL,LOSARTAN,BID,,
M00270,Brufen 600mg(Ibuprofen600mg)Tab,BID,2 Weeks,IV
NULL,SYP AMOXICLAV,on morning,1 day,Oral
NULL,TAB. TAMOMIDE 40MG,OD- Morning,,
NULL,TAB. LEVOTHYROXIN 50MCG,1 tab before breakfast,,
NULL,CAP. NASVIT D3,OD. night,,
NULL,CAP. CEPHALEXIN 500MG,TID,,
NULL,TAB. GETRYL 2MG,BID,,
NULL,CAP. SUPRAMYCINE 100MG,BID,,
NULL,CAP. TAMSOLUCIN 0,4MG,OD-night,,
NULL,TAB. MAXOLON 10MG,BID- before meal,,
NULL,SRYP. IBERT,BID,,
NULL,TAB. MOXIGEET 400MG,OD,,
NULL,SRYP. COREX D,TID,,
NULL,TAB. LEVOCITRTIZINE+M,OD,,
NULL,SPRAY. RHONOSONE-P,QID,,
NULL,TAB. NAPROX 500MG,BID,,
NULL,TAB. GLUCOPHAGE 500MG,BID,,
NULL,TAB. OSPAMAX 1GR,BID,,
NULL,TAB. LEVOMERC 500MG,OD,,
NULL,TAB. NT-ZONE,BID,,
NULL,TAB. ZOPOXIN LVS 40/75 MG,OD before meal,,
NULL,AMP. D4U 200000 IU,weekly injection,,
NULL,TAB. NUBEROL FORT,TID,,
NULL,INJ. TESTOSTERONE 250MG,weekly injection,,
NULL,TAB. PAROMAX 20MG,OD,,
NULL,TAB. OAD,OD,,
NULL,TAB. TADOCIP 20MG,PRN,,
NULL,TAB. CLOMIPRAMIN 25MG,OD- night,,
NULL,TAB. FEFOLVIT,BID,2 Weeks,Oral
NULL,TAB. PROLEXA 10MG,OD,2 Weeks,Oral
Nev,Nevakson/CeftriXONE 1G Vil,BID,1 Week,IV
M00245,Glucophage XR 750mg(Metformin +Hydrochloride)Tab,OD,1 Month,Oral
NULL,AORLINE-F 10/160MG,OD,1 Month,Oral
M00271,Ascard  75mg(Aspirin 75mg),OD,1 Month,Oral
M00247,Glucophage 850mg(Metformin +Hydrochloride)Tab,OD,1 Month,Oral
M00034,Zetro(Azithromycin) 200mg/ Syp,BID,5 days,Oral
M00486,Panadol CF Tab,TID,5 days,Oral
NULL,HYDRALINE,TID,5 days,Oral
M00249,Dapa Met  XR(Dapagliflozin &metformin)Tab,OD,1 Month,Oral
Cov,Co-Valtec/Val/hyd 80/12.5 Tab,OD,1 Month,Oral
NULL,ATORLINE - F 10/160MG,OD,1 Month,Oral
Tam,Tamspas-d/Tamsulosin Hy 0.4/Dutasteride 0.5 Tab,OD,1 Month,Oral
M00339,Levomerc(Levofloxacin)500mg Tab,OD,10 Days,Oral
NULL,BITHANECHOL 25MG,BID,10 Days,Oral
M00063,Sabal Serr 30ml/ Drop,TID,10 Days,Oral
M00203,Naprox(Naproxin)500mg/ Tab,BID,10 Days,Oral
M00414,Softovac Powder,BID,1 Month,Oral
Caro,Carodek/Cranberry vit C Sach,BID,5 days,Oral
M00062,Kidflow 30ml/ Drop,TID,10 Days,Oral
M0001,DELTACORTRIL TAB,BID,10 Days,Oral
NULL,TAMSULOSIN 0.4 TAB,OD,1 Month,Oral
NULL,LEVOTHYROXIN 100MCG,OD,1 Month,Oral
M00093,Imipramine 25mg/ Tab,OD,1 Month,Oral
Lev,Levomerc/Levofloxacin 250mg Tab,OD,10 Days,Oral
M00012,Urofast /Syp,TID,10 Days,Oral
Testo,Testoviron Depot/Testosterone 250mg Amp,OD,1 Month,IM
NULL,FOSFOMYCIN POWDER 3 GR,OD,1,Oral
M00221,Caver Nos (Libido Enhancer)Cop,OD,1 Month,Oral
NULL,SAFEACID CAP,BID BM,10 Days,Oral
NULL,MECOBALAMINE INJ 1500MG,od every other day,1 Month,IM
M00191,Gabix(Gabapentin)300mg/ Cap,OD night,1 Month,Oral
M00162,Calcimax Forte/ Tab,od morning,1 Month,Oral
NULL,DAPA MET  XR10/850M(DAPAGLIFLOZIN &METFORMIN)TABG,OD morning,1 Month,Oral
M00262,Eziday 50mg(Losartan potassium 50mg)Tab,OD,1 Month,Oral
NULL,DULOXETIN 20MG TAB,OD,1 Month,30
NULL,DIPLUS 5/80MG  
