code,name
360,360/MM,Cotix
A,Aquamox-125(Amoxicillin),125mg,Susp
A--z,A-zit/Azithromycin,500mg,Tab
Abdome,Abdome(Domperidone),1mg,Drop
Ace,Acepreg-plus/Preag+Meca
Actu,Actual(Artificial,tears),Drop
Add,Addranil/Methylphenidate,10mg,Tab
Adel,Adelflor(Probiotic),Sachet
Aden,Adenosine,6mg,Amp
Afd,Afdol/,memantine,10mg,Tab
Agi,Agifen/,Ketotifen,SYP,1mg
AGif,AGifen(Ketotifen),Syrup
Agip,Agipcin/Azithromycin,200mg,Syp
Agipc,Agipcin/Azithromycin,500mg,Tab
Airy,Airy(Mantelukast),4mg,Sachets
Al,Ras,AL,Rashid
Alf,Alfa-wel/Alfacalcidol,0.5mcg,Tab
Alid,Alides/Desloratadine,5mg,Tab
Alovi,Alovir(Aciclovir),5g,Cream
Alpr,Alprazolam,Irani,0.5,Tab
Alpra,Alprazolam,0.5mg,Tab
Amc,Amclav/Co-Amoxiclav,375mg,Tab
Amcl,Amclav/Co-Amoxiclav,625mg,Tab
Amcla,Amclav/Co-Amoxiclav,625mg,Tab
Ami,Aminovel,600mg
Amo,Amoxi-Clav(Amoxicillin+Clavulanic,Acid),375mg,Tab
Amp,Ampimod/Ampicilin,1g,Vil
Ampe,Ampeur/Pure,Ampicillin,1g,Vil
Ampi,Ampicillin,Inj,500
Ancl,Anclav-625(Amoxicillin+Clavulanate),Tab
And,Andrex/Testosterone,40mg,Cap
Anep,Anepro/Metoprolol,25mg,Tab
Angised,Angised(glyceryl,trinitrate),0.5mg,Tab
Anp,Anpra(Alprazolam),0.25mg,Tab
Anpra,Anpra(Alprazolam),0.5mg,Tab
Anta,Antacid(Alumina.Magnesia.Simethicone),Susp
Anx,Anxie(Sertraline),50mg,Tab
Anxie,Anxie(Sertraline),100mg,Tab
Apa,Apase/Combinde,Tab
Aqu,Aqualine/Hypertonic,Nasal,Spr
Ari,Arinac/Ibuprofen/Pseu,100mg/15mg,Syp
ASD,ASD/Rotacap
asth,Asthotifen(Ketotifen),Syrup
Atchol-F,Atchol-F(Atorvastatin+Fenofibrate),10/160,Tab
Ato,Atoksilin/Amoxicillin,1G,Tab
Atoks,Atoksilin/Amoxicillin,250mg,SYP
Avi,Avil,pheniramine,22.7mg,Inj
Avim,Avimox(Amoxicillin),250mg,Susp
Axo,Axofen/Fexofenadine,120mg,Tab
Azin,Azinon/Azithromycin,500mg,Tab
Azo,Azogen/Azithromycin,200mg,Syp
B,Bright,Nystat(Nystatin),Drops
Ban,Bandage/,mideam
Band,Bandage/,Small
Banda,Bandage/,Larg
Bangcl,Bangclovir-400(Acyclovir),400mg,Tab
Banz,Banzapine-5(Olanzapine),5mg,Tab
Banza,Banzapine/Olanzapine,10mg,Tab
Banzo,Banzole-TZ(Tinidazole),500mg
Ben,Benaquin/Chloroquine,250mg,Tab
Bep,Bepsar(Losartan,Potassium),50mg,Tab
Bio,Biotin/5mg,Inj
Biol,Biolac(Pre-Probiotic),Cap
Biola,Biolac/Probiotic,Cap
Biov,Biovas/Combinde,Cap
Bla,Blades
Bli,Bliss(Escitalopram),15mg,Tab
Blus,Blush-S(Iron,susroe,complex),Amp
Bon,Bonjilla/Combinde,10g,Gel
Bone,Bone-Care/Alfacalcidol,0,5,ug,Tab
Bos,Boss,Baby
Br,Bright,Fen,DS(Ibuprofen),200mg,Susp
Brain,BrainOne,Drops
Brigh,Bright,Nisolone(Prednisolone),5mg,Syrup
Bright,Bright-Lactulose(Lactulose),Syrup
Bro,bromalex/Bromazepam,3mg,Tab
Bron,Bronolac(Ambroxol),30mg/5ml,Syrup
Bruf,Brufen(Ibuprofen),400mg,Tab
Bu,Butrin,XL(Bupropion),150mg,Tab
Bud,Budecort(Budesonide),0.5mg,Susp
Buspir,Buspirax(Buspirone),5mg,Tab
buz,Buzon/Risperidone,1mg,Tab
