code,genericName,brandName,strength,form,isControlled,defaultRoute,defaultFreq,defaultDuration
360,MM Cotix,360,,,false,,,
A,Amoxicillin,Aquamox-125,125mg,Suspension,false,,,
A--z,Azithromycin,A-zit,500mg,Tablet,false,,,
Abdome,Domperidone,Abdome,1mg,Drop,false,,,
Ace,Preag+Meca,Acepreg-plus,,,false,,,
Actu,Artificial tears Drop,Actual,,,false,,,
Add,Methylphenidate,Addranil,10mg,Tablet,true,,,
Adel,Probiotic Sachet,Adelflor,,,false,,,
Aden,Adenosine,,6mg,Ampoule,false,,,
Afd,memantine,Afdol,10mg,Tablet,false,,,
Agi,Ketotifen SYP,Agifen,1mg,,false,,,
AGif,Ketotifen,AGifen,,Syrup,false,,,
Agip,Azithromycin,Agipcin,200mg,Syrup,false,,,
Agipc,Azithromycin,Agipcin,500mg,Tablet,false,,,
Airy,Mantelukast Sachets,Airy,4mg,,false,,,
Al,Ras AL Rashid,,,,false,,,
Al Ras,AL Rashid,,,,false,,,
Alf,Alfacalcidol,Alfa-wel,0.5mcg,Tablet,false,Oral,OD,"1 Month"
Alid,Desloratadine,Alides,5mg,Tablet,false,,,
Alovi,Aciclovir,Alovir,5g,Cream,false,,,
Alpr,Alprazolam Irani 0.5,,,Tablet,true,,,
Alpra,Alprazolam,,0.5mg,Tablet,true,,,
Amc,Co-Amoxiclav,Amclav,375mg,Tablet,false,,,
Amcl,Co-Amoxiclav,Amclav,625mg,Tablet,false,,,
Amcla,Co-Amoxiclav,Amclav,625mg,Tablet,false,,,
Ami,Aminovel,,600mg,,false,IV,OD,
Amo,Amoxicillin+Clavulanic Acid,Amoxi-Clav,375mg,Tablet,false,,,
Amp,Ampicilin,Ampimod,1g,Vial,false,,,
Ampe,Pure Ampicillin,Ampeur,1g,Vial,false,,,
Ampi,Ampicillin Inj 500,,,,false,,,
Ancl,Amoxicillin+Clavulanate,Anclav-625,,Tablet,false,,,
And,Testosterone,Andrex,40mg,Capsule,false,Oral,OD,"1 Month"
Anep,Metoprolol,Anepro,25mg,Tablet,false,,,
Angised,glyceryl trinitrate,Angised,0.5mg,Tablet,false,,,
Anp,Alprazolam,Anpra,0.25mg,Tablet,true,,,
Anpra,Alprazolam,Anpra,0.5mg,Tablet,true,,,
Anta,Alumina.Magnesia.Simethicone,Antacid,,Suspension,false,,,
Anx,Sertraline,Anxie,50mg,Tablet,false,,,
Anxie,Sertraline,Anxie,100mg,Tablet,false,,,
Apa,Combinde,Apase,,Tablet,false,,,
Aqu,Hypertonic Nasal Spr,Aqualine,,,false,,,
Ari,Ibuprofen/Pseu,Arinac,100mg/15mg,Syrup,false,,,
ASD,Rotacap,ASD,,,false,,,
asth,Ketotifen,Asthotifen,,Syrup,false,,,
Atchol-F,Atorvastatin+Fenofibrate 10/160,Atchol-F,,Tablet,false,,,
Ato,Amoxicillin,Atoksilin,1G,Tablet,false,Oral,BD,"10 Days"
Atoks,Amoxicillin,Atoksilin,250mg,Syrup,false,,,
Avi,Avil pheniramine,,22.7mg,Injection,false,,,
Avim,Amoxicillin,Avimox,250mg,Suspension,false,,,
Axo,Fexofenadine,Axofen,120mg,Tablet,false,,,
Azin,Azithromycin,Azinon,500mg,Tablet,false,,,
Azo,Azithromycin,Azogen,200mg,Syrup,false,,,
B,Nystatin,Bright Nystat,,Drop,false,,,
Ban,mideam,Bandage,,,false,,,
Band,Small,Bandage,,,false,,,
Banda,Larg,Bandage,,,false,,,
Bangcl,Acyclovir,Bangclovir-400,400mg,Tablet,false,,,
Banz,Olanzapine,Banzapine-5,5mg,Tablet,false,,,
Banza,Olanzapine,Banzapine,10mg,Tablet,false,,,
Banzo,Tinidazole,Banzole-TZ,500mg,,false,,,
Ben,Chloroquine,Benaquin,250mg,Tablet,false,,,
Bep,Losartan Potassium,Bepsar,50mg,Tablet,false,,,
Bio,Biotin,,5mg,Injection,false,IM,OD,"1 Month"
Biol,Pre-Probiotic,Biolac,,Capsule,false,,,
Biola,Probiotic,Biolac,,Capsule,false,Oral,OD,"1 Month"
Biov,Combinde,Biovas,,Capsule,false,,,
Bla,Blades,,,,false,,,
Bli,Escitalopram,Bliss,15mg,Tablet,false,,,
Blus,Iron susroe complex,Blush-S,,Ampoule,false,,,
Bon,Combinde,Bonjilla,10g,Gel,false,,,
Bone,"Alfacalcidol 0,5 ug",Bone-Care,,Tablet,false,,,
Bos,Boss Baby,,,,false,,,
Br,Ibuprofen,Bright Fen DS,200mg,Suspension,false,,,
Brain,BrainOne,,,Drop,false,,,
Brigh,Prednisolone,Bright Nisolone,5mg,Syrup,false,,,
Bright,Lactulose,Bright-Lactulose,,Syrup,false,,,
Bro,Bromazepam,bromalex,3mg,Tablet,false,,,
Bron,Ambroxol,Bronolac,30mg/5ml,Syrup,false,,,
Bruf,Ibuprofen,Brufen,400mg,Tablet,false,,,
Bu,Bupropion,Butrin XL,150mg,Tablet,false,,,
Bud,Budesonide,Budecort,0.5mg,Suspension,false,,,
Buspir,Buspirone,Buspirax,5mg,Tablet,false,,,
buz,Risperidone,Buzon,1mg,Tablet,false,,,
Buzo,Risperidone,Buzon,2mg,Tablet,false,,,
C,Cetirizine,Cetee,10mg,Tablet,false,,,
CALA,Co-amoxiclav,Calamox,1.2g,Vial,false,,,
Calan,Verapamil,Calan,240mg,Tablet,false,,,
Calan V,Verapamil,Calan,80mg,Tablet,false,,,
Calanv,Verapamil,Calan,40mg,Tablet,false,,,
Calc,zinc/D3,Calcimax+Cal,,Syrup,false,,,
Calcee,Calcee Pow,,,,false,,,
Calci,calcium Tab,Calcidin,500mg,,false,,,
Cap,Capcidol  Cer,,0.075%,,false,,,
Capto,Captopril,Captopril,25mg,Tablet,false,Oral,OD,"10 Days"
Cardn,Nitroglycerin,Cardnit,2.6mg,Tablet,false,,,
Cardo,Losartan potassium,Cardon,25mg,Tablet,false,,,
Cardon,Losartan potassium,Cardon,50mg,Tablet,false,,,
Cardop,Losartan+Hydrochlorothiazide,Cardoplus 50,,Tablet,false,Oral,OD,"1 Month"
Caro,Cranberry vit C Sach,Carodek,,,false,Oral,BD,"5 days"
CDK,Combind,CDK,,,false,Oral,OD,"1 Month"
Cee,Cefixime,Cee Goss,400mg,Tablet,false,,,
Cef,ceftriaxone,Ceftriace1,1g,Vial,false,IV,BD,"5 days"
Cefa,Ceftriaxone,Cefacoast,500mg,Vial,false,,,
Cefi,cefixime,,400mg,Tablet,false,Oral,OD,"10 Days"
Cefig,Cefixime,Cefiget,100mg,Syrup,false,,,
Cefo,cefotaxime,Cefocoast,1g,Vial,false,,,
Cefob,Cefoperazone+Sulbac m Vail,Cefobact,2g,,false,,,
Cel,Celecoxib,Celbex,200mg,Capsule,false,Oral,OD,"10 Days"
Cele,Celecoxib,Celenon,200mg,Capsule,false,,,
Cerb,Topiramate,Cerbilep,25mg,Tablet,false,,,
Cere,piracetam,Ceremin,400mg,Tablet,false,,,
Cerol,Omeprazole,Cerol,20mg,Capsule,false,,,
Cet,Cetirzine,Ceten,10mg,Tablet,false,,,
Che,Chestone,,,Inhaler,false,,,
Chy,trypsin,chymoral Forte,,,false,,,
Ci,Ciprofloxacin,Ciproxin,250mg,Tablet,false,,,
Cic,Neomycin/zinc  Pow,Cicatrin,20g,,false,,,
Cil,Impenem,Cilapen,500mg,Vial,false,,,
Cim,Cimetidine,Cimet,400mg,Tablet,false,,,
Cip,ciprofloxacin Inf,Cipesta,200mg,,false,,,
Cipe,Ciprofloxacin Inf,Cipesta,400mg,,false,,,
Cipr,Ciprofloxacin,Ciproxin,500mg,Tablet,false,,,
Cipro,Ciprofloxacin,Ciproxent,500mg,Tablet,false,Oral,BD,"5 days"
Ciprof,Ciprofloxacine SYp 250mh,,,,false,,,
Ciprol,Ciprofloxacin Syp,Ciprolox,125Mg,,false,,,
Cit,HydrogenCitrate LIQ,Citralka,150ml,,false,,,
Cita,Escitalopram,Citanew,5mg,Tablet,false,,,
citan,Escitalopram,Citanew,20mg,Tablet,false,,,
