code,name,departmentCode,fee
002,Matullah,OPD,
008,dr mati,OPD,
40,Optic,DENTA,
A100,Anesthesia,OPEN,
ABD,ABDOMEN TAB,EME,
ABDO,ABDOMENAL HESTRECTOMY,GYN,
ABDOM,ABDOMEN ERECT,RAD,
ABT,AB.THYRID,DENTA,
ANALFIS,ANAL FISSURECTOMY,OPEN,
ANE,ANESTHISIA,ANE,
ANEU,ANEURISMAL SURGERY,NEURO,
ANKL,ANKLE JOINT X-RAY,RAD,
ANTE,ANTERIOR CERVICAL DLSCETOMY,NEURO,
ANTER,ANTERIOR AND ANTERIOR LATERAL SPIN SURGRY,NEURO,
APP,APPLYING OF IV CANOLA,PED,
APPL,APPLYING OF SUTURES,EME,
ASSI,DELIVERY ASSISTED BY EPISIOTOMY,GYN,
AV,AV FISTUAL,URO,
BED,BED FEE/HR,EME,
BLO,BLOOD TRANSFUTION,EME,
BLOO,BLOOD BANK,EME,
BLOODT,BLOOD TRANSFUSION`,EME,
BO,BOTH ANKLE JOINT X-RAY,RAD,
BOT,BOTH WREST JOINT X-RAY,RAD,
BOTH,BOTH KNEE JOINT X-RAY,RAD,
BOTHF,BOTH FEET JOINT X-RAY,RAD,
BOTHH,BOTH HAND JOINT X-RAY,RAD,
BP,BP BY NURSE,EME,
BPC,BP CHECK,EME,
BRA,BRAIN TUMOR,NEURO,
BRAI,BRAIN ABSCES DRAINAG,NEURO,
BRE,BREAST,RAD,
BREAST A,BREAST ABSCES,URO,
BRES,BREST,RAD,
BRS,AB.PELVIC,RAD,
C C PLAT,C C PLATE DENTURE,DENTA,
C SEC,C SECTION,URO,
CALCAN,CALCANEUS X-RAY,RAD,
CAR,CARTID DOPPLER,RAD,
CARDI,CARDIAC MONITORING,EME,
CARDIAC,CARDIAC MONITORING,INTER,
CC,CCU,INTER,
CCU,CCU,IPD,
CER,CERVICAL LAMENECTOMY,NEURO,
CERV,DEPO INJECTION,GYN,
CERVIC,CERVICAL SPIN X-RAY,RAD,
CES,INSERTION OF IUCD,GYN,
CESA,CESAREAN SECTION,GYN,
CHEM,CHEMOTHERAPY,OPEN,
CHES,SHECHT TUBE INSERTION(CHECHT INTUBATION),EME,
CHEST,CHEST X-RAY,RAD,
CHOLEDU,CHOLEDUHOLITHOTOMY,OPEN,
CHRO,CHRONIC SUB DURAL HEMATOMA,NEURO,
CLAVI,CLAVICOLA BONE X-RAY,RAD,
COCCYX,COCCYX X-RAY,RAD,
COLO,COLONOSCOPY,ENDO,
COLP,EVACUATION & CURTTEGE,GYN,
COLPR,DEILATATION &CURTTEGE,GYN,
COMP,COMPELETE PATIENT MONITORING / HR,EME,
CON,CONGENITAL HYDROCEPHALUS VC SHUNT,NEURO,
CONG,CONGENITAL HYDROCEPHALUS,NEURO,
CONSUL,CONSULTATION,OPD,
CONTR,CONTRAST DOPPLER,RAD,
CRA,CRANIO SYNOSTOSIS,NEURO,
CTG,CTG,GYN,
CYS,CYSTESCOPE CHECKUP,URO,
CYST,CYSTOSCOPE+BIOPSY,URO,
CYSTO,CYSTOLITHOTOMY,OPEN,
D 65,Hoda,OPD,
D28,MOHIB,OPD,
d58,Dr. Zekria Shadab,OPD,
DA,DAY CARE FOR PRIVET,EME,
DAY,DAY CARE FOR WARD,EME,
DENT X,DENTAL X-RAY,DENTA,
DENTU,DENTUR 1,DENTA,
DENTUR,DENTUR 2,DENTA,
DENTUR3,DENTUR 3,DENTA,
DEPR,DEPRESSED FRACTURE SIMPLE,NEURO,
DEPRE,DEPRESSED FRACTURE SIMPLE WITH FIXITION,NEURO,
DEPRES,DEPRESSED FRACTURE COMPLEX,NEURO,
DESIGN,DESIGN-PORCELLIN,DENTA,
DIA,DIALYSIS WITH DOUBLE LUMEN,DIALY,
DIAL,DIALETION,URO,
DILA,DILATATION & CURETTAGE,GYN,
DIOS,DIOSTHOMYTHOMYLIA,NEURO,
DISP,DISPOSIBLE INSTRUMENT SET,DENTA,
DORS,DORS LUMBER SPAIN X-RAY,RAD,
